Item type,Compiler #,Audit status,Editorial lane,Issue count,Issues,Next action,Chapter or lane,Date,Title,Release or status,Pages,NAID,Local identifier,Source locator,Source-note basis,Published FRUS status,FRUS standard checklist,Source note,Provenance note,Catalog URL,PDF URL
Confirmed record,4.004,Visible note clean,Ready source-note check,0,,Ready for final editor source-note check.,Regional,1989-10-02,Memorandum of Conversation,Declassified,5 pages,366551664,91107-005,Brent Scowcroft Papers | Presidential Correspondence Files | 91107-005 | source pages 118-122 | 41-bpr-scow-pcor-memcon-91107-005.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 7/14/89-10/2/89, OA/ID 91107-005, source pages 118-122.","Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 7/14/89-10/2/89, 91107-005, NAID 366551664, source pages 118-122.",https://catalog.archives.gov/id/366551664,documents/regional/1989-10-02-bush-hosni-mubarak-memcon-scowcroft.pdf
Confirmed record,1.010,Visible note clean,Access-status decision,0,,Confirm whether this item can be selected or should only be cited as withheld/restricted context.,Afghanistan,1989-10-16,"NSC/DC [Deputies Committee] Meeting - October 16, 1989 re: Afghanistan",Restricted - Possibly,18 pages,470426218,CF01625-007,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | CF01625-007 | 41-bpr-nsc-haass_meeting-cf01625-007.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Meeting Files, NSC/DC [Deputies Committee] Meeting - October 16, 1989 re: Afghanistan, OA/ID CF01625-007.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), Richard N. Haass' Meeting Files, CF01625-007, NAID 470426218. FOIA tracking: 2005-0052-F, 2008-0431-F. Access restriction: Restricted - Possibly. Page count: 18 (measured from available PDF).",https://catalog.archives.gov/id/470426218,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-007.pdf
Confirmed record,1.011,Visible note clean,Access-status decision,0,,Confirm whether this item can be selected or should only be cited as withheld/restricted context.,Afghanistan,1989-10-18,"NSC/DC 065A - October 18, 1989 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan (File located @ LM)",Restricted - Possibly,8 pages,470761041,90011-020,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90011-020 | 41-bpr-nsc-hfiles-dc_mtgs-65a-90011-020.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 065A - October 18, 1989 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan (File located @ LM), OA/ID 90011-020.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files, 90011-020, NAID 470761041. Catalog URL: https://catalog.archives.gov/id/470761041. Series URL: https://catalog.archives.gov/id/312294079. Digital object: 41-bpr-nsc-hfiles-dc_mtgs-65a-90011-020.pdf, object ID 483296221, URL https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-65a-90011-020.pdf. Page count: 8 (measured from available PDF). FOIA tracking: 2005-0052-F, 2005-1002-F, 2008-1289-F. Other finding aid identifier: Pres-Bush, Pres-Bush. Container: 90011. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761041,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-65a-90011-020.pdf
Confirmed record,3.006,Visible note clean,Title/source verification,0,,Verify the catalog-derived title and source chain against the PDF or folder title page.,India,1989-10-18,Memorandum of Telephone Conversation,Full,1 page,428080301,[Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: October 1989,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: October 1989 | 1989-10-18--Gandhi.pdf,Bush Library citation-marker extraction; no classification marking on first page.,Citation-marker target applied,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification/no-marking captured,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-010, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: October 1989. No classification marking.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 10/18/1989; Type Telcon; Participants Gandhi, Rajiv; Country India; Release Status Full; NAID 428080301. National Archives Catalog item: Telephone Conversation with Prime Minister Gandhi of India, October 18, 1989, NAID 428080301. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Telcon Files, NAID 321498139. File unit: [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: October 1989, NAID 325592637. Digital object: 1989-10-18--Gandhi.pdf, object ID 428080302, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-10-18--Gandhi.pdf. Access restriction: Unrestricted. Deduped local provenance: Brent Scowcroft Papers, Presidential Correspondence Files, NAID 366551688, 91111-003, source pages 86-86.",https://catalog.archives.gov/id/428080301,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-10-18--Gandhi.pdf
Confirmed record,1.012,Visible note clean,Access-status decision,0,,Confirm whether this item can be selected or should only be cited as withheld/restricted context.,Afghanistan,1989-10-23,"NSC Meeting - October 23, 1989 re: Afghanistan",Restricted - Possibly,24 pages,470426219,CF01625-008,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | CF01625-008 | 41-bpr-nsc-haass_meeting-cf01625-008.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Meeting Files, NSC Meeting - October 23, 1989 re: Afghanistan, OA/ID CF01625-008.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), Richard N. Haass' Meeting Files, CF01625-008, NAID 470426219. FOIA tracking: 2008-0431-F, 2008-0430-F. Access restriction: Restricted - Possibly. Page count: 24 (measured from available PDF).",https://catalog.archives.gov/id/470426219,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-008.pdf
Confirmed record,2.011,Visible note clean,Title/source verification,0,,Verify the catalog-derived title and source chain against the PDF or folder title page.,Pakistan,1989-11-01,Memorandum of Telephone Conversation,Full,3 pages,428080317,[Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: November 1989,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: November 1989 | 1989-11-01--Bhutto.pdf,Bush Library citation-marker extraction; original classification Confidential.,Citation-marker target applied,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification/no-marking captured,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-011, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: November 1989. Confidential.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 11/1/1989; Type Telcon; Participants Bhutto, Benazir; Country Pakistan; Release Status Full; NAID 428080317. National Archives Catalog item: Telephone Conversation with Prime Minister Bhutto of Pakistan, November 1, 1989, NAID 428080317. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Telcon Files, NAID 321498139. File unit: [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: November 1989, NAID 325592638. Digital object: 1989-11-01--Bhutto.pdf, object ID 428080318, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-11-01--Bhutto.pdf. Access restriction: Unrestricted. Page count: 3 (measured from available PDF).",https://catalog.archives.gov/id/428080317,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-11-01--Bhutto.pdf
Confirmed record,1.013,Visible note clean,Ready source-note check,0,,Ready for final editor source-note check.,Afghanistan,1989-11-24,Memorandum of Conversation,Declassified,10 pages,366551665,91107-006,Brent Scowcroft Papers | Presidential Correspondence Files | 91107-006 | source pages 91-100 | 41-bpr-scow-pcor-memcon-91107-006.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 10/3/89-12/16/89, OA/ID 91107-006, source pages 91-100.","Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 10/3/89-12/16/89, 91107-006, NAID 366551665, source pages 91-100.",https://catalog.archives.gov/id/366551665,documents/afghanistan/1989-11-24-bush-margaret-thatcher-memcon-scowcroft.pdf
Confirmed record,1.014,Visible note clean,Access-status decision,0,,Confirm whether this item can be selected or should only be cited as withheld/restricted context.,Afghanistan,1989-11-27,"Presidential Visit of President [of Afghanistan Interim Government Sibgahtullah] Mojaddedi - November 27, 1989",Restricted - Possibly,35 pages,470426381,CF01404-028,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Presidential Meeting Files | CF01404-028 | 41-bpr-nsc-haass_pres_mtg-cf01404-028.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Presidential Meeting Files, Presidential Visit of President [of Afghanistan Interim Government Sibgahtullah] Mojaddedi - November 27, 1989, OA/ID CF01404-028.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), Richard N. Haass' Presidential Meeting Files, CF01404-028, NAID 470426381. FOIA tracking: 2008-0431-F, 2005-0052-F. Access restriction: Restricted - Possibly. Page count: 35 (measured from available PDF).",https://catalog.archives.gov/id/470426381,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/pres_mtg_2554869/41-bpr-nsc-haass_pres_mtg-cf01404-028.pdf
Confirmed record,2.012,Visible note clean,Access-status decision,0,,Confirm whether this item can be selected or should only be cited as withheld/restricted context.,Pakistan,1990-03-26,"NSC/DC 112 - March 26, 1990 - NSC/DC Meeting on Kashmir, Keywords: Pakistan",Restricted - Possibly,13 pages,470761101,90013-024,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90013-024 | 41-bpr-nsc-hfiles-dc_mtgs-112-90013-024.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 112 - March 26, 1990 - NSC/DC Meeting on Kashmir, Keywords: Pakistan, OA/ID 90013-024.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files, 90013-024, NAID 470761101. Catalog URL: https://catalog.archives.gov/id/470761101. Series URL: https://catalog.archives.gov/id/312294079. Digital object: 41-bpr-nsc-hfiles-dc_mtgs-112-90013-024.pdf, object ID 483295804, URL https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-112-90013-024.pdf. Page count: 13 (measured from available PDF). FOIA tracking: 2008-1289-F, 2005-1002-F. Other finding aid identifier: Pres-Bush, Pres-Bush. Container: 90013. Access restriction: Restricted - Possibly. Deduped local provenance: Records of the National Security Council (George H. W. Bush Administration), Richard N. Haass' Meeting Files, NAID 470426225, CF01625-014.",https://catalog.archives.gov/id/470761101,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-112-90013-024.pdf
Confirmed record,3.007,Visible note clean,Access-status decision,0,,Confirm whether this item can be selected or should only be cited as withheld/restricted context.,India,1990-04-04,"NSC/DC 113 - April 04, 1990 - NSC/DC Meeting on Kashmir via SVTS, Keywords: India",Restricted - Possibly,41 pages,470761103,90013-026,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90013-026 | 41-bpr-nsc-hfiles-dc_mtgs-113-90013-026.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 113 - April 04, 1990 - NSC/DC Meeting on Kashmir via SVTS, Keywords: India, OA/ID 90013-026.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files, 90013-026, NAID 470761103. Catalog URL: https://catalog.archives.gov/id/470761103. Series URL: https://catalog.archives.gov/id/312294079. Digital object: 41-bpr-nsc-hfiles-dc_mtgs-113-90013-026.pdf, object ID 483295806, URL https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-113-90013-026.pdf. Page count: 41 (measured from available PDF). FOIA tracking: 2008-1289-F, 2005-1002-F. Other finding aid identifier: Pres-Bush, Pres-Bush. Container: 90013. Access restriction: Restricted - Possibly. Deduped local provenance: Records of the National Security Council (George H. W. Bush Administration), Richard N. Haass' Meeting Files, NAID 470426226, CF01625-015.",https://catalog.archives.gov/id/470761103,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-113-90013-026.pdf
Confirmed record,2.013,Visible note clean,Access-status decision,0,,Confirm whether this item can be selected or should only be cited as withheld/restricted context.,Pakistan,1990-05-07,"NSC/DC 124 - May 07, 1990 - NSC/DC Meeting re: Pakistan Stingers, Keywords: Pakistan (File located @ LM)",Restricted - Possibly,42 pages,470761116,90014-013,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90014-013 | 41-bpr-nsc-hfiles-dc_mtgs-124-90014-013.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 124 - May 07, 1990 - NSC/DC Meeting re: Pakistan Stingers, Keywords: Pakistan (File located @ LM), OA/ID 90014-013.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files, 90014-013, NAID 470761116. Catalog URL: https://catalog.archives.gov/id/470761116. Series URL: https://catalog.archives.gov/id/312294079. Digital object: 41-bpr-nsc-hfiles-dc_mtgs-124-90014-013.pdf, object ID 483295819, URL https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-124-90014-013.pdf. Page count: 42 (measured from available PDF). FOIA tracking: 2008-1289-F, 2005-1002-F. Other finding aid identifier: Pres-Bush, Pres-Bush. Container: 90014. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761116,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-124-90014-013.pdf
Confirmed record,2.014,Visible note clean,Access-status decision,0,,Confirm whether this item can be selected or should only be cited as withheld/restricted context.,Pakistan,1990-06-28,"NSC/DC 147 - June 28, 1990 - NSC/DC Meeting on Pakistan's Nuclear Program, Keywords: Pakistan, Nuclear Matters",Restricted - Possibly,24 pages,470761140,90015-005,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90015-005 | 41-bpr-nsc-hfiles-dc_mtgs-147-90015-005.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 147 - June 28, 1990 - NSC/DC Meeting on Pakistan's Nuclear Program, Keywords: Pakistan, Nuclear Matters, OA/ID 90015-005.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files, 90015-005, NAID 470761140. Catalog URL: https://catalog.archives.gov/id/470761140. Series URL: https://catalog.archives.gov/id/312294079. Digital object: 41-bpr-nsc-hfiles-dc_mtgs-147-90015-005.pdf, object ID 483295845, URL https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-147-90015-005.pdf. Page count: 24 (measured from available PDF). FOIA tracking: 2008-1289-F, 2005-1002-F. Other finding aid identifier: Pres-Bush, Pres-Bush. Container: 90015. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761140,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-147-90015-005.pdf
Confirmed record,2.015,Visible note clean,Access-status decision,0,,Confirm whether this item can be selected or should only be cited as withheld/restricted context.,Pakistan,1990-06-30,"NSC/DC [Deputies Committee] Meeting - June 30, 1990 Re: Pakistan",Restricted - Possibly,14 pages,470426229,CF01625-018,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | CF01625-018 | 41-bpr-nsc-haass_meeting-cf01625-018.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Meeting Files, NSC/DC [Deputies Committee] Meeting - June 30, 1990 Re: Pakistan, OA/ID CF01625-018.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), Richard N. Haass' Meeting Files, CF01625-018, NAID 470426229. FOIA tracking: 1998-0387-F. Access restriction: Restricted - Possibly. Page count: 14 (measured from available PDF).",https://catalog.archives.gov/id/470426229,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-018.pdf
Confirmed record,2.016,Visible note clean,Access-status decision,0,,Confirm whether this item can be selected or should only be cited as withheld/restricted context.,Pakistan,1990-07-09,"NSC/DC 154 - July 09, 1990 - NSC/DC Meeting on Pakistan Nuclear Program, Keywords: Pakistan, Nuclear Matters",Restricted - Possibly,10 pages,470761146,90015-012,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90015-012 | 41-bpr-nsc-hfiles-dc_mtgs-154-90015-012.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 154 - July 09, 1990 - NSC/DC Meeting on Pakistan Nuclear Program, Keywords: Pakistan, Nuclear Matters, OA/ID 90015-012.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files, 90015-012, NAID 470761146. Catalog URL: https://catalog.archives.gov/id/470761146. Series URL: https://catalog.archives.gov/id/312294079. Digital object: 41-bpr-nsc-hfiles-dc_mtgs-154-90015-012.pdf, object ID 483295853, URL https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-154-90015-012.pdf. Page count: 10 (measured from available PDF). FOIA tracking: 2005-1002-F, 2008-1289-F. Other finding aid identifier: Pres-Bush, Pres-Bush. Container: 90015. Access restriction: Restricted - Possibly. Deduped local provenance: Records of the National Security Council (George H. W. Bush Administration), Richard N. Haass' Meeting Files, NAID 470426230, CF01625-019.",https://catalog.archives.gov/id/470761146,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-154-90015-012.pdf
Confirmed record,2.017,Visible note clean,Access-status decision,0,,Confirm whether this item can be selected or should only be cited as withheld/restricted context.,Pakistan,1990-07-16,"NSC/DC Meeting - July 16, 1990 Re: Pakistan Nuclear Program",Restricted - Possibly,29 pages,470426231,CF01625-020,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | CF01625-020 | 41-bpr-nsc-haass_meeting-cf01625-020.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Meeting Files, NSC/DC Meeting - July 16, 1990 Re: Pakistan Nuclear Program, OA/ID CF01625-020.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), Richard N. Haass' Meeting Files, CF01625-020, NAID 470426231. FOIA tracking: 1998-0387-F. Access restriction: Restricted - Possibly. Page count: 29 (measured from available PDF).",https://catalog.archives.gov/id/470426231,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-020.pdf
Confirmed record,2.018,Visible note clean,Access-status decision,0,,Confirm whether this item can be selected or should only be cited as withheld/restricted context.,Pakistan,1990-08-31,"NSC/DC 190 - August 31, 1990 - NSC/DC Meeting on Pakistan Nuclear Program, Keywords: Pakistan, Nuclear Matters",Restricted - Possibly,37 pages,470761184,90016-018,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90016-018 | 41-bpr-nsc-hfiles-dc_mtgs-190-90016-018.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 190 - August 31, 1990 - NSC/DC Meeting on Pakistan Nuclear Program, Keywords: Pakistan, Nuclear Matters, OA/ID 90016-018.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files, 90016-018, NAID 470761184. Catalog URL: https://catalog.archives.gov/id/470761184. Series URL: https://catalog.archives.gov/id/312294079. Digital object: 41-bpr-nsc-hfiles-dc_mtgs-190-90016-018.pdf, object ID 483295895, URL https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-190-90016-018.pdf. Page count: 37 (measured from available PDF). FOIA tracking: 2005-1002-F, 2008-1289-F. Other finding aid identifier: Pres-Bush, Pres-Bush. Container: 90016. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761184,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-190-90016-018.pdf
