Item type,Decision (Select / Exclude / Defer / Cite only / Resolved),Decision date,Owner,Decision rationale,Follow-up,Item ID,Compiler #,Priority or queue,Chapter or lane,Date,Title,Status,Pages,NAID or target records,Source locator,Next action,Source note or need,Catalog URL,PDF URL
Confirmed record,,,,,,bush-library-428080317,2.011,Released chronology,Pakistan,1989-11-01,Memorandum of Telephone Conversation,Full,3 pages,428080317; [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: November 1989,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: November 1989 | 1989-11-01--Bhutto.pdf,"Resolve compiler risk: catalog-derived-source-note. Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.","Source: George H.W. Bush Library, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: November 1989. Full release.",https://catalog.archives.gov/id/428080317,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-11-01--Bhutto.pdf
Confirmed record,,,,,,scowcroft-366551665-91-margaret-thatcher-memcon,1.013,Released chronology,Afghanistan,1989-11-24,Memorandum of Conversation,Declassified,10 pages,366551665; 91107-006,Brent Scowcroft Papers | Presidential Correspondence Files | 91107-006 | source pages 91-100 | 41-bpr-scow-pcor-memcon-91107-006.pdf,"Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.","Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 10/3/89-12/16/89, 91107-006, source pages 91-100. Declassified.",https://catalog.archives.gov/id/366551665,documents/afghanistan/1989-11-24-bush-margaret-thatcher-memcon-scowcroft.pdf
Confirmed record,,,,,,470426381-presidential-visit-of-president-of-afghanistan-interim-government-sibgahtullah-mojaddedi-november-27-1989,1.014,Review ledger,Afghanistan,1989-11-27,"Presidential Visit of President [of Afghanistan Interim Government Sibgahtullah] Mojaddedi - November 27, 1989",Restricted - Possibly,35 pages,470426381; CF01404-028,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Presidential Meeting Files | CF01404-028 | 41-bpr-nsc-haass_pres_mtg-cf01404-028.pdf,"Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review. Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.","Source: George H.W. Bush Library, National Security Council, Richard N. Haass' Presidential Meeting Files, Presidential Visit of President [of Afghanistan Interim Government Sibgahtullah] Mojaddedi - November 27, 1989, CF01404-028. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470426381,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/pres_mtg_2554869/41-bpr-nsc-haass_pres_mtg-cf01404-028.pdf
Confirmed record,,,,,,nsc-source-470761101,2.012,Review ledger,Pakistan,1990-03-26,"NSC/DC 112 - March 26, 1990 - NSC/DC Meeting on Kashmir, Keywords: Pakistan",Restricted - Possibly,13 pages,470761101; 90013-024,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90013-024 | 41-bpr-nsc-hfiles-dc_mtgs-112-90013-024.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 112 - March 26, 1990 - NSC/DC Meeting on Kashmir, Keywords: Pakistan, 90013-024. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761101,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-112-90013-024.pdf
Confirmed record,,,,,,nsc-source-470761103,3.007,Review ledger,India,1990-04-04,"NSC/DC 113 - April 04, 1990 - NSC/DC Meeting on Kashmir via SVTS, Keywords: India",Restricted - Possibly,41 pages,470761103; 90013-026,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90013-026 | 41-bpr-nsc-hfiles-dc_mtgs-113-90013-026.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 113 - April 04, 1990 - NSC/DC Meeting on Kashmir via SVTS, Keywords: India, 90013-026. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761103,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-113-90013-026.pdf
Confirmed record,,,,,,nsc-source-470761116,2.013,Review ledger,Pakistan,1990-05-07,"NSC/DC 124 - May 07, 1990 - NSC/DC Meeting re: Pakistan Stingers, Keywords: Pakistan (File located @ LM)",Restricted - Possibly,42 pages,470761116; 90014-013,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90014-013 | 41-bpr-nsc-hfiles-dc_mtgs-124-90014-013.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 124 - May 07, 1990 - NSC/DC Meeting re: Pakistan Stingers, Keywords: Pakistan (File located @ LM), 90014-013. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761116,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-124-90014-013.pdf
Confirmed record,,,,,,nsc-source-470761140,2.014,Review ledger,Pakistan,1990-06-28,"NSC/DC 147 - June 28, 1990 - NSC/DC Meeting on Pakistan's Nuclear Program, Keywords: Pakistan, Nuclear Matters",Restricted - Possibly,24 pages,470761140; 90015-005,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90015-005 | 41-bpr-nsc-hfiles-dc_mtgs-147-90015-005.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 147 - June 28, 1990 - NSC/DC Meeting on Pakistan's Nuclear Program, Keywords: Pakistan, Nuclear Matters, 90015-005. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761140,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-147-90015-005.pdf
Confirmed record,,,,,,470426229-nsc-dc-deputies-committee-meeting-june-30-1990-re-pakistan,2.015,Review ledger,Pakistan,1990-06-30,"NSC/DC [Deputies Committee] Meeting - June 30, 1990 Re: Pakistan",Restricted - Possibly,14 pages,470426229; CF01625-018,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | CF01625-018 | 41-bpr-nsc-haass_meeting-cf01625-018.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, Richard N. Haass' Meeting Files, NSC/DC [Deputies Committee] Meeting - June 30, 1990 Re: Pakistan, CF01625-018. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470426229,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-018.pdf
Confirmed record,,,,,,nsc-source-470761146,2.016,Review ledger,Pakistan,1990-07-09,"NSC/DC 154 - July 09, 1990 - NSC/DC Meeting on Pakistan Nuclear Program, Keywords: Pakistan, Nuclear Matters",Restricted - Possibly,10 pages,470761146; 90015-012,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90015-012 | 41-bpr-nsc-hfiles-dc_mtgs-154-90015-012.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 154 - July 09, 1990 - NSC/DC Meeting on Pakistan Nuclear Program, Keywords: Pakistan, Nuclear Matters, 90015-012. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761146,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-154-90015-012.pdf
Confirmed record,,,,,,470426231-nsc-dc-meeting-july-16-1990-re-pakistan-nuclear-program,2.017,Review ledger,Pakistan,1990-07-16,"NSC/DC Meeting - July 16, 1990 Re: Pakistan Nuclear Program",Restricted - Possibly,29 pages,470426231; CF01625-020,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | CF01625-020 | 41-bpr-nsc-haass_meeting-cf01625-020.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, Richard N. Haass' Meeting Files, NSC/DC Meeting - July 16, 1990 Re: Pakistan Nuclear Program, CF01625-020. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470426231,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-020.pdf
Confirmed record,,,,,,nsc-source-470761184,2.018,Review ledger,Pakistan,1990-08-31,"NSC/DC 190 - August 31, 1990 - NSC/DC Meeting on Pakistan Nuclear Program, Keywords: Pakistan, Nuclear Matters",Restricted - Possibly,37 pages,470761184; 90016-018,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90016-018 | 41-bpr-nsc-hfiles-dc_mtgs-190-90016-018.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 190 - August 31, 1990 - NSC/DC Meeting on Pakistan Nuclear Program, Keywords: Pakistan, Nuclear Matters, 90016-018. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761184,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-190-90016-018.pdf
Confirmed record,,,,,,nsc-source-470761189,2.019,Review ledger,Pakistan,1990-09-05,"NSC/DC 193A - September 05, 1990 - NSC/DC Meeting on Pakistan, Keywords: Pakistan, Nuclear Matters",Restricted - Possibly,11 pages,470761189; 90016-023,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90016-023 | 41-bpr-nsc-hfiles-dc_mtgs-193a-90016-023.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 193A - September 05, 1990 - NSC/DC Meeting on Pakistan, Keywords: Pakistan, Nuclear Matters, 90016-023. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761189,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-193a-90016-023.pdf
Confirmed record,,,,,,scowcroft-366551670-130-mikhail-gorbachev-memcon,1.015,Released chronology,Afghanistan,1990-09-09,Memorandum of Conversation,Declassified,9 pages,366551670; 91108-001,Brent Scowcroft Papers | Presidential Correspondence Files | 91108-001 | source pages 130-138 | 41-bpr-scow-pcor-memcon-91108-001.pdf,Ready for source-note and selection review.,"Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 7/5/90-9/24/90, 91108-001, source pages 130-138. Declassified.",https://catalog.archives.gov/id/366551670,documents/afghanistan/1990-09-09-bush-mikhail-gorbachev-memcon-scowcroft.pdf
Confirmed record,,,,,,bush-library-428081099,4.005,Released chronology,Regional,1990-10-01,Memorandum of Conversation,Full,5 pages,428081099; [Memorandum of Conversations (Memcons)-July 1990-December 1990]: October 1990,Records of the National Security Council (George H. W. Bush Administration) | Presidential Memcon Files | [Memorandum of Conversations (Memcons)-July 1990-December 1990]: October 1990 | 1990-10-01--Ershad.pdf,"Resolve compiler risk: catalog-derived-source-note. Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.","Source: George H.W. Bush Library, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-July 1990-December 1990]: October 1990. Full release.",https://catalog.archives.gov/id/428081099,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-10-01--Ershad.pdf
Confirmed record,,,,,,nsc-source-470761204,2.020,Review ledger,Pakistan,1990-10-02,"NSC/DC 205 - October 02, 1990 - NSC/DC Meeting on Pakistan Nuclear Program via SVTS, Keywords: Pakistan, Nuclear Matters",Restricted - Possibly,24 pages,470761204; 90016-038,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90016-038 | 41-bpr-nsc-hfiles-dc_mtgs-205-90016-038.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 205 - October 02, 1990 - NSC/DC Meeting on Pakistan Nuclear Program via SVTS, Keywords: Pakistan, Nuclear Matters, 90016-038. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761204,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-205-90016-038.pdf
Confirmed record,,,,,,470426235-dc-deputies-committee-meeting-october-4-1990-re-afghanistan,1.016,Review ledger,Afghanistan,1990-10-04,"DC [Deputies Committee] Meeting - October 4, 1990 re: Afghanistan",Restricted - Possibly,10 pages,470426235; CF01625-024,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | CF01625-024 | 41-bpr-nsc-haass_meeting-cf01625-024.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, Richard N. Haass' Meeting Files, DC [Deputies Committee] Meeting - October 4, 1990 re: Afghanistan, CF01625-024. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470426235,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-024.pdf
Confirmed record,,,,,,470426238-nsc-dc-deputies-committee-meeting-october-4-1990-re-pakistan,2.021,Review ledger,Pakistan,1990-10-04,"NSC/DC [Deputies Committee] Meeting - October 4, 1990 Re: Pakistan",Restricted - Possibly,8 pages,470426238; CF01625-027,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | CF01625-027 | 41-bpr-nsc-haass_meeting-cf01625-027.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, Richard N. Haass' Meeting Files, NSC/DC [Deputies Committee] Meeting - October 4, 1990 Re: Pakistan, CF01625-027. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470426238,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-027.pdf
Confirmed record,,,,,,nsc-source-470761206,1.017,Review ledger,Afghanistan,1990-10-05,"NSC/DC 207 - October 05, 1990 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan",Restricted - Possibly,26 pages,470761206; 90016-040,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90016-040 | 41-bpr-nsc-hfiles-dc_mtgs-207-90016-040.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 207 - October 05, 1990 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan, 90016-040. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761206,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-207-90016-040.pdf
Confirmed record,,,,,,nsc-source-470761207,2.022,Review ledger,Pakistan,1990-10-05,"NSC/DC 208 - October 05, 1990 - NSC/DC Meeting on Pakistan via SVTS, Keywords: Pakistan",Restricted - Possibly,11 pages,470761207; 90017-001,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90017-001 | 41-bpr-nsc-hfiles-dc_mtgs-208-90017-001.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 208 - October 05, 1990 - NSC/DC Meeting on Pakistan via SVTS, Keywords: Pakistan, 90017-001. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761207,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-208-90017-001.pdf
Confirmed record,,,,,,470426240-nsc-dc-meeting-october-9-1990-re-pakistan,2.023,Review ledger,Pakistan,1990-10-09,"NSC/DC Meeting - October 9, 1990 Re: Pakistan",Restricted - Possibly,81 pages,470426240; CF01625-029,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | CF01625-029 | 41-bpr-nsc-haass_meeting-cf01625-029.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, Richard N. Haass' Meeting Files, NSC/DC Meeting - October 9, 1990 Re: Pakistan, CF01625-029. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470426240,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-029.pdf
Confirmed record,,,,,,nsc-source-470760963,2.024,Review ledger,Pakistan,1990-10-09,"NSC0056 - October 09, 1990 - Nuclear Matters, Middle East and Gulf, Proliferation [1]",Restricted - Possibly,42 pages,470760963; 90002-025,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC) Meeting Files | 90002-025 | 41-bpr-nsc-hfiles-nsc_mtgs-56_1-90002-025.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC Meetings Files, NSC0056 - October 09, 1990 - Nuclear Matters, Middle East and Gulf, Proliferation [1], 90002-025. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470760963,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-56_1-90002-025.pdf
Confirmed record,,,,,,nsc-source-470760964,2.025,Review ledger,Pakistan,1990-10-09,"NSC0056 - October 09, 1990 - Nuclear Matters, Middle East and Gulf, Proliferation [2]",Restricted - Possibly,42 pages,470760964; 90002-026,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC) Meeting Files | 90002-026 | 41-bpr-nsc-hfiles-nsc_mtgs-56_2-90002-026.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC Meetings Files, NSC0056 - October 09, 1990 - Nuclear Matters, Middle East and Gulf, Proliferation [2], 90002-026. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470760964,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-56_2-90002-026.pdf
Confirmed record,,,,,,scowcroft-366551673-7-lee-kuan-yew-memcon,2.026,Released chronology,Pakistan,1991-01-21,Memorandum of Conversation,Declassified,9 pages,366551673; 91108-004,Brent Scowcroft Papers | Presidential Correspondence Files | 91108-004 | source pages 7-15 | 41-bpr-scow-pcor-memcon-91108-004.pdf,"Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.","Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 1/14/91-3/8/91, 91108-004, source pages 7-15. Declassified.",https://catalog.archives.gov/id/366551673,documents/pakistan/1991-01-21-bush-lee-kuan-yew-memcon-scowcroft.pdf
Confirmed record,,,,,,scowcroft-366551697-12-nawaz-sharif-telcon,2.027,Released chronology,Pakistan,1991-02-02,Memorandum of a Telephone Conversation,Declassified,4 pages,366551697; 91112-005,Brent Scowcroft Papers | Presidential Correspondence Files | 91112-005 | source pages 12-15 | 41-bpr-scow-pcor-telcon-91112-005.pdf,"Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.","Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Telephone Calls--Memorandum of Conversations 1/30/91-2/22/91, 91112-005, source pages 12-15. Declassified.",https://catalog.archives.gov/id/366551697,documents/pakistan/1991-02-02-bush-nawaz-sharif-telcon-scowcroft.pdf
Confirmed record,,,,,,bush-library-428081443,3.008,Released chronology,India,1991-02-08,Memorandum of Telephone Conversation,Full,4 pages,428081443; [Memorandum of Telephone Conversations (Telcons) - January 1991-April 1991]:  February 1991 [1],Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - January 1991-April 1991]:  February 1991 [1] | 1991-02-08--Shankar.pdf,Resolve compiler risk: catalog-derived-source-note.,"Source: George H.W. Bush Library, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1991-April 1991]: February 1991 [1]. Full release.",https://catalog.archives.gov/id/428081443,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-02-08--Shankar.pdf
Confirmed record,,,,,,nsc-source-470761272,1.018,Review ledger,Afghanistan,1991-03-05,"NSC/DC 260 - March 05, 1991 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan (File located @ LM)",Restricted - Possibly,9 pages,470761272; 90019-003,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90019-003 | 41-bpr-nsc-hfiles-dc_mtgs-260-90019-003.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 260 - March 05, 1991 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan (File located @ LM), 90019-003. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761272,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-260-90019-003.pdf
Confirmed record,,,,,,nsc-source-470761289,1.019,Review ledger,Afghanistan,1991-04-12,"NSC/DC 271 - April 12, 1991 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan (File located @ LM)",Restricted - Possibly,7 pages,470761289; 90019-020,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90019-020 | 41-bpr-nsc-hfiles-dc_mtgs-271-90019-020.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 271 - April 12, 1991 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan (File located @ LM), 90019-020. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761289,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-271-90019-020.pdf
Confirmed record,,,,,,nsc-source-470761301,1.020,Review ledger,Afghanistan,1991-05-17,"NSC/DC 282 - May 17, 1991 - NSC/DC Meeting on Angola and Afghanistan, Keywords: Angola, Afghanistan (File located @ NLMS)",Restricted - Possibly,1 page,470761301; 90020-001,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90020-001 | 41-bpr-nsc-hfiles-dc_mtgs-282-90020-001.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 282 - May 17, 1991 - NSC/DC Meeting on Angola and Afghanistan, Keywords: Angola, Afghanistan (File located @ NLMS), 90020-001. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761301,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-282-90020-001.pdf
Confirmed record,,,,,,bush-library-428082103,3.009,Released chronology,India,1991-12-15,Memorandum of Telephone Conversation,Full,1 page,428082103; [Memorandum of Telephone Conversations (Telcons) - May 1991-December 1991]:  December 1991,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - May 1991-December 1991]:  December 1991 | 1991-12-15--Rao.pdf,Resolve compiler risk: catalog-derived-source-note.,"Source: George H.W. Bush Library, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - May 1991-December 1991]: December 1991. Full release.",https://catalog.archives.gov/id/428082103,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-12-15--Rao.pdf
