Item type,Compiler #,Review lane,Priority or queue,Chapter or lane,Date,Title,Access/release status,Pages,Page basis,NAID,Local identifier,Source locator,Next action,Source note,Catalog URL,PDF URL
Confirmed record,2.022,Confirmed access-status decision,Review ledger,Pakistan,1990-10-05,"NSC/DC 208 - October 05, 1990 - NSC/DC Meeting on Pakistan via SVTS, Keywords: Pakistan",Restricted - Possibly,11 pages,Measured or recorded extent; verify item boundaries before final selection.,470761207,90017-001,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90017-001 | 41-bpr-nsc-hfiles-dc_mtgs-208-90017-001.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 208 - October 05, 1990 - NSC/DC Meeting on Pakistan via SVTS, Keywords: Pakistan, OA/ID 90017-001.",https://catalog.archives.gov/id/470761207,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-208-90017-001.pdf
Confirmed record,2.023,Confirmed access-status decision,Review ledger,Pakistan,1990-10-09,"NSC/DC Meeting - October 9, 1990 Re: Pakistan",Restricted - Possibly,81 pages,Measured or recorded extent; verify item boundaries before final selection.,470426240,CF01625-029,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | CF01625-029 | 41-bpr-nsc-haass_meeting-cf01625-029.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Meeting Files, NSC/DC Meeting - October 9, 1990 Re: Pakistan, OA/ID CF01625-029.",https://catalog.archives.gov/id/470426240,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-029.pdf
Confirmed record,2.024,Confirmed access-status decision,Review ledger,Pakistan,1990-10-09,"NSC0056 - October 09, 1990 - Nuclear Matters, Middle East and Gulf, Proliferation [1]",Restricted - Possibly,42 pages,Measured or recorded extent; verify item boundaries before final selection.,470760963,90002-025,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC) Meeting Files | 90002-025 | 41-bpr-nsc-hfiles-nsc_mtgs-56_1-90002-025.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, NSC0056 - October 09, 1990 - Nuclear Matters, Middle East and Gulf, Proliferation [1], OA/ID 90002-025.",https://catalog.archives.gov/id/470760963,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-56_1-90002-025.pdf
Confirmed record,2.025,Confirmed access-status decision,Review ledger,Pakistan,1990-10-09,"NSC0056 - October 09, 1990 - Nuclear Matters, Middle East and Gulf, Proliferation [2]",Restricted - Possibly,42 pages,Measured or recorded extent; verify item boundaries before final selection.,470760964,90002-026,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC) Meeting Files | 90002-026 | 41-bpr-nsc-hfiles-nsc_mtgs-56_2-90002-026.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, NSC0056 - October 09, 1990 - Nuclear Matters, Middle East and Gulf, Proliferation [2], OA/ID 90002-026.",https://catalog.archives.gov/id/470760964,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-56_2-90002-026.pdf
Confirmed record,1.018,Confirmed access-status decision,Review ledger,Afghanistan,1991-03-05,"NSC/DC 260 - March 05, 1991 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan (File located @ LM)",Restricted - Possibly,9 pages,Measured or recorded extent; verify item boundaries before final selection.,470761272,90019-003,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90019-003 | 41-bpr-nsc-hfiles-dc_mtgs-260-90019-003.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 260 - March 05, 1991 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan (File located @ LM), OA/ID 90019-003.",https://catalog.archives.gov/id/470761272,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-260-90019-003.pdf
Confirmed record,1.019,Confirmed access-status decision,Review ledger,Afghanistan,1991-04-12,"NSC/DC 271 - April 12, 1991 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan (File located @ LM)",Restricted - Possibly,7 pages,Measured or recorded extent; verify item boundaries before final selection.,470761289,90019-020,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90019-020 | 41-bpr-nsc-hfiles-dc_mtgs-271-90019-020.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 271 - April 12, 1991 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan (File located @ LM), OA/ID 90019-020.",https://catalog.archives.gov/id/470761289,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-271-90019-020.pdf
Confirmed record,1.020,Confirmed access-status decision,Review ledger,Afghanistan,1991-05-17,"NSC/DC 282 - May 17, 1991 - NSC/DC Meeting on Angola and Afghanistan, Keywords: Angola, Afghanistan (File located @ NLMS)",Restricted - Possibly,1 page,Measured or recorded extent; verify item boundaries before final selection.,470761301,90020-001,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90020-001 | 41-bpr-nsc-hfiles-dc_mtgs-282-90020-001.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 282 - May 17, 1991 - NSC/DC Meeting on Angola and Afghanistan, Keywords: Angola, Afghanistan (File located @ NLMS), OA/ID 90020-001.",https://catalog.archives.gov/id/470761301,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-282-90020-001.pdf
Confirmed record,1.021,Confirmed access-status decision,Review ledger,Afghanistan,1992-01-03,"NSC/DC 331 - January 03, 1992 - NSC/DC Meeting re: Afghanistan, Keywords: Afghanistan",Restricted - Possibly,58 pages,Measured or recorded extent; verify item boundaries before final selection.,470761354,90021-019,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90021-019 | 41-bpr-nsc-hfiles-dc_mtgs-331-90021-019.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 331 - January 03, 1992 - NSC/DC Meeting re: Afghanistan, Keywords: Afghanistan, OA/ID 90021-019.",https://catalog.archives.gov/id/470761354,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-331-90021-019.pdf
Confirmed record,3.010,Partial/excision check,Released chronology,India,1992-01-31,Memorandum of Conversation,Partial,3 pages,Measured or recorded extent; verify item boundaries before final selection.,428082131,[Memorandum of Conversations (Memcons)-January 1992-June 1992]: January 1992,Records of the National Security Council (George H. W. Bush Administration) | Presidential Memcon Files | [Memorandum of Conversations (Memcons)-January 1992-June 1992]: January 1992 | 1992-01-31--Rao.pdf,Review excisions and decide whether the released text can support selection; record any cite-only rationale.,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-January 1992-June 1992]: January 1992. Confidential.",https://catalog.archives.gov/id/428082131,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1992-01-31--Rao.pdf
Confirmed record,2.028,Confirmed access-status decision,Review ledger,Pakistan,1992-07-10,"NSD-70 - July 10, 1992 - U.S. Nonproliferation Policy",Restricted - Possibly,101 pages,Measured or recorded extent; verify item boundaries before final selection.,446396904,90005-020,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Directive (NSD) Files | 90005-020 | 41-bpr-nsc-hfiles-nsd-70-90005-020.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, NSD-70 - July 10, 1992 - U.S. Nonproliferation Policy, OA/ID 90005-020.",https://catalog.archives.gov/id/446396904,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-70-90005-020.pdf
Confirmed record,2.029,Partial/excision check,Released chronology,Pakistan,1992-12-03,Memorandum of Telephone Conversation,Partial,2 pages,Measured or recorded extent; verify item boundaries before final selection.,428082401,[Memorandum of Telephone Conversations (Telcons) - July 1992-January 1993]:  December 1992,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - July 1992-January 1993]:  December 1992 | 1992-12-03--Sharif.pdf,Review excisions and decide whether the released text can support selection; record any cite-only rationale.,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - July 1992-January 1993]: December 1992. Confidential.",https://catalog.archives.gov/id/428082401,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1992-12-03--Sharif.pdf
Potential lead,,Partly restricted lead screening,Critical; score 47,Regional,1989-01-20,Bangladesh,Restricted - Partly; Online object available,,Page count not yet measured at item level.,645608041,,Richard Cheney Collection | Country Files | Country Files | NAID 645608041 | 41-bpr-dhm-cheney-country-31842-009.pdf,"Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, Bangladesh.",https://catalog.archives.gov/id/645608041,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31842-009.pdf
Potential lead,,Restricted lead screening,Critical; score 59,Regional,1989-01-20,Letters on Kashmir,Restricted - Possibly; Online object available,,Page count not yet measured at item level.,470426145,,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Correspondence Files | Richard N. Haass' Correspondence Files | NAID 470426145 | 41-bpr-nsc-haass_correspondence-cf01479-008.pdf,"Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Correspondence Files, Letters on Kashmir.",https://catalog.archives.gov/id/470426145,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/correspondence_2554865/41-bpr-nsc-haass_correspondence-cf01479-008.pdf
Potential lead,,Restricted lead screening,Critical; score 59,Regional,1990-03-26,"NSC/DC [Deputies Committee] Teleconference - March 26, 1990 Re: Kashmir",Restricted - Possibly; Online object available,,Page count not yet measured at item level.,470426225,,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | Richard N. Haass' Meeting Files | NAID 470426225 | 41-bpr-nsc-haass_meeting-cf01625-014.pdf,"Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Meeting Files, NSC/DC [Deputies Committee] Teleconference - March 26, 1990 Re: Kashmir.",https://catalog.archives.gov/id/470426225,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-014.pdf
Potential lead,,Restricted lead screening,Critical; score 65,Regional,1992-03-19,"President's Meeting with Prime Minister Zia of Bangladesh - March 19, 1992",Restricted - Possibly; Online object available,,Page count not yet measured at item level.,470426266,,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | Richard N. Haass' Meeting Files | NAID 470426266 | 41-bpr-nsc-haass_meeting-cf01447-024.pdf,"Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Meeting Files, President's Meeting with Prime Minister Zia of Bangladesh - March 19, 1992.",https://catalog.archives.gov/id/470426266,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01447-024.pdf
Potential lead,,Restricted lead screening,High; score 50,Afghanistan,1989-01-01,Working Files - Afghanistan 1989-1992 [2],Restricted - Possibly; Online object available,,Page count not yet measured at item level.,470426597,,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Working Files | Richard N. Haass' Working Files | NAID 470426597 | 41-bpr-nsc-haass_working-cf01304-011.pdf,"Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Working Files, Working Files - Afghanistan 1989-1992 [2].",https://catalog.archives.gov/id/470426597,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/working_2554877/41-bpr-nsc-haass_working-cf01304-011.pdf
Potential lead,,Unrestricted lead screening,High; score 50,Afghanistan,1989-01-20,Afghanistan,Unrestricted; Online object available,,Page count not yet measured at item level.,645607685,,Richard Cheney Collection | Country Files | Country Files | NAID 645607685 | 41-bpr-dhm-cheney-country-31827-001.pdf,"Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, Afghanistan.",https://catalog.archives.gov/id/645607685,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31827-001.pdf
Potential lead,,Restricted lead screening,High; score 50,Afghanistan,1989-01-20,Afghanistan - Charles,Restricted - Possibly; Online object available,,Page count not yet measured at item level.,470426255,,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | Richard N. Haass' Meeting Files | NAID 470426255 | 41-bpr-nsc-haass_meeting-cf01447-013.pdf,"Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Meeting Files, Afghanistan - Charles.",https://catalog.archives.gov/id/470426255,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01447-013.pdf
Potential lead,,Partly restricted lead screening,High; score 50,Afghanistan,1989-01-20,Afghanistan [1],Restricted - Partly; Online object available,,Page count not yet measured at item level.,645607321,,Richard Cheney Collection | Country Files | Country Files | NAID 645607321 | 41-bpr-dhm-cheney-country-31812-001.pdf,"Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, Afghanistan [1].",https://catalog.archives.gov/id/645607321,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31812-001.pdf
Potential lead,,Partly restricted lead screening,High; score 50,Afghanistan,1989-01-20,Afghanistan [2],Restricted - Partly; Online object available,,Page count not yet measured at item level.,645607323,,Richard Cheney Collection | Country Files | Country Files | NAID 645607323 | 41-bpr-dhm-cheney-country-31812-002.pdf,"Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, Afghanistan [2].",https://catalog.archives.gov/id/645607323,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31812-002.pdf
Potential lead,,Partly restricted lead screening,High; score 47,India,1989-01-20,India,Restricted - Partly; Online object available,,Page count not yet measured at item level.,645607415,,Richard Cheney Collection | Country Files | Country Files | NAID 645607415 | 41-bpr-dhm-cheney-country-31815-004.pdf,"Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, India.",https://catalog.archives.gov/id/645607415,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31815-004.pdf
Potential lead,,Partly restricted lead screening,High; score 47,India,1989-01-20,India [1],Restricted - Partly; Online object available,,Page count not yet measured at item level.,645608141,,Richard Cheney Collection | Country Files | Country Files | NAID 645608141 | 41-bpr-dhm-cheney-country-31847-001.pdf,"Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, India [1].",https://catalog.archives.gov/id/645608141,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31847-001.pdf
Potential lead,,Partly restricted lead screening,High; score 47,India,1989-01-20,India [1],Restricted - Partly; Online object available,,Page count not yet measured at item level.,645607135,,Richard Cheney Collection | Country Files | Country Files | NAID 645607135 | 41-bpr-dhm-cheney-country-31802-007.pdf,"Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, India [1].",https://catalog.archives.gov/id/645607135,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31802-007.pdf
Potential lead,,Partly restricted lead screening,High; score 47,India,1989-01-20,India [2],Restricted - Partly; Online object available,,Page count not yet measured at item level.,645608143,,Richard Cheney Collection | Country Files | Country Files | NAID 645608143 | 41-bpr-dhm-cheney-country-31847-002.pdf,"Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, India [2].",https://catalog.archives.gov/id/645608143,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31847-002.pdf
Potential lead,,Partly restricted lead screening,High; score 47,India,1989-01-20,India [2],Restricted - Partly; Online object available,,Page count not yet measured at item level.,645607137,,Richard Cheney Collection | Country Files | Country Files | NAID 645607137 | 41-bpr-dhm-cheney-country-31802-008.pdf,"Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, India [2].",https://catalog.archives.gov/id/645607137,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31802-008.pdf
Potential lead,,Partly restricted lead screening,High; score 47,India,1989-01-20,India [A],Restricted - Partly; Online object available,,Page count not yet measured at item level.,645607805,,Richard Cheney Collection | Country Files | Country Files | NAID 645607805 | 41-bpr-dhm-cheney-country-31832-001.pdf,"Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, India [A].",https://catalog.archives.gov/id/645607805,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31832-001.pdf
Potential lead,,Partly restricted lead screening,High; score 47,India,1989-01-20,India [B],Restricted - Partly; Online object available,,Page count not yet measured at item level.,645607807,,Richard Cheney Collection | Country Files | Country Files | NAID 645607807 | 41-bpr-dhm-cheney-country-31832-002.pdf,"Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, India [B].",https://catalog.archives.gov/id/645607807,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31832-002.pdf
Potential lead,,Partly restricted lead screening,High; score 47,Pakistan,1989-01-20,Pakistan,Restricted - Partly; Online object available,,Page count not yet measured at item level.,645608235,,Richard Cheney Collection | Country Files | Country Files | NAID 645608235 | 41-bpr-dhm-cheney-country-31850-010.pdf,"Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, Pakistan.",https://catalog.archives.gov/id/645608235,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31850-010.pdf
Potential lead,,Partly restricted lead screening,High; score 47,Pakistan,1989-01-20,Pakistan [A],Restricted - Partly; Online object available,,Page count not yet measured at item level.,645607905,,Richard Cheney Collection | Country Files | Country Files | NAID 645607905 | 41-bpr-dhm-cheney-country-31836-005.pdf,"Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, Pakistan [A].",https://catalog.archives.gov/id/645607905,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31836-005.pdf
Potential lead,,Partly restricted lead screening,High; score 47,Pakistan,1989-01-20,Pakistan [A],Restricted - Partly; Online object available,,Page count not yet measured at item level.,645607531,,Richard Cheney Collection | Country Files | Country Files | NAID 645607531 | 41-bpr-dhm-cheney-country-31820-001.pdf,"Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, Pakistan [A].",https://catalog.archives.gov/id/645607531,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31820-001.pdf
Potential lead,,Partly restricted lead screening,High; score 47,Pakistan,1989-01-20,Pakistan [B],Restricted - Partly; Online object available,,Page count not yet measured at item level.,645607533,,Richard Cheney Collection | Country Files | Country Files | NAID 645607533 | 41-bpr-dhm-cheney-country-31820-002.pdf,"Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, Pakistan [B].",https://catalog.archives.gov/id/645607533,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31820-002.pdf
Potential lead,,Partly restricted lead screening,High; score 47,Pakistan,1989-01-20,Pakistan [B],Restricted - Partly; Online object available,,Page count not yet measured at item level.,645607907,,Richard Cheney Collection | Country Files | Country Files | NAID 645607907 | 41-bpr-dhm-cheney-country-31836-006.pdf,"Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, Pakistan [B].",https://catalog.archives.gov/id/645607907,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31836-006.pdf
Potential lead,,Restricted lead screening,High; score 50,Pakistan,1989-01-20,Pakistan-India,Restricted - Possibly; Online object available,,Page count not yet measured at item level.,470437053,,Records of the National Security Council (George H. W. Bush Administration) | Robert M. Gates' Subject Files | Robert M. Gates' Subject Files | NAID 470437053 | 41-bpr-nsc-gates-subj-cf00946-012.pdf,"Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Robert M. Gates' Subject Files, Pakistan-India.",https://catalog.archives.gov/id/470437053,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/gates/subject_2554843/41-bpr-nsc-gates-subj-cf00946-012.pdf
Potential lead,,Restricted lead screening,Medium; score 33,Regional,1989-01-20,"Milam, William - AMB to Bangladesh",Restricted - Possibly; Online object available,,Page count not yet measured at item level.,286185941,,Records of the White House Office of Presidential Personnel (George H. W. Bush Administration) | Katja Bullock Appointment Files | Katja Bullock Appointment Files | NAID 286185941 | 41-bpr-pers-bullock-appt-07091-008.pdf,"Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.","Source: George H.W. Bush Library, White House Office of Presidential Personnel, Katja Bullock Appointment Files, Milam, William - AMB to Bangladesh.",https://catalog.archives.gov/id/286185941,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/foia/2000/Batch0001/41-bpr-pers-bullock-appt-07091-008.pdf
Potential lead,,Public/context promotion decision,Medium; score 48,Afghanistan,1992-02-28,Presidential Determination No. 92-18--Memorandum on Certification for Major Narcotics Producing and Transit Countries,Public presidential statement,,Page count not yet measured at item level.,,,Public Papers of the Presidents of the United States: George H. W. Bush | PPP-1992-book1,"Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.","Source: Public Papers of the Presidents of the United States: George H.W. Bush, February 28, 1992, ""Presidential Determination No. 92-18--Memorandum on Certification for Major Narcotics Producing and Transit Countries"", GovInfo package PPP-1992-book1, granule PPP-1992-book1-doc-pg351.",,https://www.govinfo.gov/content/pkg/PPP-1992-book1/pdf/PPP-1992-book1-doc-pg351.pdf
Potential lead,,Public/context promotion decision,Medium; score 40,Regional,1992-03-19,Statement by Press Secretary Fitzwater on the President's Meeting With Prime Minister Begum Khaleda Zia of Bangladesh,Public presidential statement,,Page count not yet measured at item level.,,,Public Papers of the Presidents of the United States: George H. W. Bush | PPP-1992-book1,"Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.","Source: Public Papers of the Presidents of the United States: George H.W. Bush, March 19, 1992, ""Statement by Press Secretary Fitzwater on the President's Meeting With Prime Minister Begum Khaleda Zia of Bangladesh"", GovInfo package PPP-1992-book1, granule PPP-1992-book1-doc-pg473.",,https://www.govinfo.gov/content/pkg/PPP-1992-book1/pdf/PPP-1992-book1-doc-pg473.pdf
Potential lead,,Public/context promotion decision,Medium; score 38,Pakistan,1992-09-30,Presidential Determination No. 92-49--Memorandum on Disaster Assistance for Pakistan,Public presidential statement,,Page count not yet measured at item level.,,,Public Papers of the Presidents of the United States: George H. W. Bush | PPP-1992-book2,"Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.","Source: Public Papers of the Presidents of the United States: George H.W. Bush, September 30, 1992, ""Presidential Determination No. 92-49--Memorandum on Disaster Assistance for Pakistan"", GovInfo package PPP-1992-book2, granule PPP-1992-book2-doc-pg1729.",,https://www.govinfo.gov/content/pkg/PPP-1992-book2/pdf/PPP-1992-book2-doc-pg1729.pdf
Potential lead,,Public/context promotion decision,Medium; score 42,Regional,1992-10-02,Presidential Determination No. 93-1--Memorandum on Refugee Admissions,Public presidential statement,,Page count not yet measured at item level.,,,Public Papers of the Presidents of the United States: George H. W. Bush | PPP-1992-book2,"Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.","Source: Public Papers of the Presidents of the United States: George H.W. Bush, October 2, 1992, ""Presidential Determination No. 93-1--Memorandum on Refugee Admissions"", GovInfo package PPP-1992-book2, granule PPP-1992-book2-doc-pg1740.",,https://www.govinfo.gov/content/pkg/PPP-1992-book2/pdf/PPP-1992-book2-doc-pg1740.pdf
