Item type,Review order,Priority,Boundary score,Compiler #,Chapter or lane,Date,Title,Release or status,Pages,Page basis,NAID,Local identifier,Source family,Source locator,Matched gaps,Boundary reasons,Boundary question,Next action,Source note,Catalog URL,PDF URL
Potential lead,25,High,96,,Pakistan,1989-01-20,Pakistan [B],Restricted - Partly; Online object available,,No stable page count recorded.,645607533,,Cheney collection,Richard Cheney Collection | Country Files | Country Files | NAID 645607533 | 41-bpr-dhm-cheney-country-31820-002.pdf,High: Build an India policy lane beyond leader conversations; High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search,high-priority gap target; promotion requires PDF screening; folder or staff-file source pool; catalog-derived title/source note; page count unresolved,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, Pakistan [B].",https://catalog.archives.gov/id/645607533,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31820-002.pdf
Potential lead,26,High,96,,Pakistan,1989-01-20,Pakistan [B],Restricted - Partly; Online object available,,No stable page count recorded.,645607907,,Cheney collection,Richard Cheney Collection | Country Files | Country Files | NAID 645607907 | 41-bpr-dhm-cheney-country-31836-006.pdf,"High: Build an India policy lane beyond leader conversations; High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search; High: Split the Regional lane into Kashmir, Bangladesh, and other South Asia tracks",high-priority gap target; promotion requires PDF screening; folder or staff-file source pool; catalog-derived title/source note; page count unresolved,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, Pakistan [B].",https://catalog.archives.gov/id/645607907,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31836-006.pdf
Potential lead,27,High,96,,Pakistan,1989-01-20,Pakistan-India,Restricted - Possibly; Online object available,,No stable page count recorded.,470437053,,NSC files,Records of the National Security Council (George H. W. Bush Administration) | Robert M. Gates' Subject Files | Robert M. Gates' Subject Files | NAID 470437053 | 41-bpr-nsc-gates-subj-cf00946-012.pdf,High: Build an India policy lane beyond leader conversations; High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search,high-priority gap target; promotion requires PDF screening; folder or staff-file source pool; catalog-derived title/source note; page count unresolved,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Robert M. Gates' Subject Files, Pakistan-India.",https://catalog.archives.gov/id/470437053,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/gates/subject_2554843/41-bpr-nsc-gates-subj-cf00946-012.pdf
Confirmed record,28,High,70,1.001,Afghanistan,1989-02-07,"NSR-1 - February 07, 1989 - Afghanistan",Restricted - Possibly,30 pages,Recorded extent; still verify selected item boundaries before final numbering.,446394923,90006-001,H-Files - National Security Review (NSR) Files,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Review (NSR) Files | 90006-001 | 41-bpr-nsc-hfiles-nsr-1-90006-001.pdf,"High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; folder or staff-file source pool; access review affects selection; large PDF extent; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Review Afghanistan files 645607685, 645607321, and 645607323.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, NSR-1 - February 07, 1989 - Afghanistan, OA/ID 90006-001.",https://catalog.archives.gov/id/446394923,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-1-90006-001.pdf
Confirmed record,29,High,70,1.002,Afghanistan,1989-02-08,"NSC/DC 001 - February 08, 1989 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan",Restricted - Possibly,52 pages,Recorded extent; still verify selected item boundaries before final numbering.,470760975,90009-001,H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90009-001 | 41-bpr-nsc-hfiles-dc_mtgs-1-90009-001.pdf,"High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; folder or staff-file source pool; access review affects selection; large PDF extent; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Review Afghanistan files 645607685, 645607321, and 645607323.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 001 - February 08, 1989 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan, OA/ID 90009-001.",https://catalog.archives.gov/id/470760975,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-1-90009-001.pdf
Confirmed record,30,High,70,1.003,Afghanistan,1989-02-10,"NSC0001 - February 10, 1989 - Afghanistan",Restricted - Possibly,20 pages,Recorded extent; still verify selected item boundaries before final numbering.,470760885,90000-001,H-Files - National Security Council (NSC) Meeting Files,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC) Meeting Files | 90000-001 | 41-bpr-nsc-hfiles-nsc_mtgs-1-90000-001.pdf,"High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; folder or staff-file source pool; access review affects selection; large PDF extent; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Review Afghanistan files 645607685, 645607321, and 645607323.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, NSC0001 - February 10, 1989 - Afghanistan, OA/ID 90000-001.",https://catalog.archives.gov/id/470760885,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-1-90000-001.pdf
Confirmed record,31,High,70,1.004,Afghanistan,1989-02-13,"NSD-3 - February 13, 1989 - U.S. Policy toward Afghanistan (File located @ LM)",Restricted - Possibly,52 pages,Recorded extent; still verify selected item boundaries before final numbering.,446396813,90003-004,H-Files - National Security Directive (NSD) Files,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Directive (NSD) Files | 90003-004 | 41-bpr-nsc-hfiles-nsd-3-90003-004.pdf,"High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; folder or staff-file source pool; access review affects selection; large PDF extent; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Review Afghanistan files 645607685, 645607321, and 645607323.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, NSD-3 - February 13, 1989 - U.S. Policy toward Afghanistan (File located @ LM), OA/ID 90003-004.",https://catalog.archives.gov/id/446396813,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-3-90003-004.pdf
Confirmed record,32,High,70,1.008,Afghanistan,1989-03-18,"NSD-5 - March 18, 1989 - Legislation to Authorize the Transfer of Funds to the Agency for International Development (AID) for Humanitarian Assistance to Afghanistan (File located @ LM)",Restricted - Possibly,43 pages,Recorded extent; still verify selected item boundaries before final numbering.,446396815,90003-006,H-Files - National Security Directive (NSD) Files,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Directive (NSD) Files | 90003-006 | 41-bpr-nsc-hfiles-nsd-5-90003-006.pdf,"High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; folder or staff-file source pool; access review affects selection; large PDF extent; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Review Afghanistan files 645607685, 645607321, and 645607323.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, NSD-5 - March 18, 1989 - Legislation to Authorize the Transfer of Funds to the Agency for International Development (AID) for Humanitarian Assistance to Afghanistan (File located @ LM), OA/ID 90003-006.",https://catalog.archives.gov/id/446396815,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-5-90003-006.pdf
Confirmed record,33,High,70,3.003,India,1989-05-04,"NSC/DC 022 - May 04, 1989 - NSC/DC Meeting on South Asia, Keywords: South Asia, India (File located @ LM)",Restricted - Possibly,45 pages,Recorded extent; still verify selected item boundaries before final numbering.,470760996,90010-001,H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90010-001 | 41-bpr-nsc-hfiles-dc_mtgs-22-90010-001.pdf,"High: Build an India policy lane beyond leader conversations; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; folder or staff-file source pool; access review affects selection; large PDF extent; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 022 - May 04, 1989 - NSC/DC Meeting on South Asia, Keywords: South Asia, India (File located @ LM), OA/ID 90010-001.",https://catalog.archives.gov/id/470760996,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-22-90010-001.pdf
Confirmed record,34,High,70,1.012,Afghanistan,1989-10-23,"NSC Meeting - October 23, 1989 re: Afghanistan",Restricted - Possibly,24 pages,Recorded extent; still verify selected item boundaries before final numbering.,470426219,CF01625-008,Richard N. Haass' Meeting Files,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | CF01625-008 | 41-bpr-nsc-haass_meeting-cf01625-008.pdf,"High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; folder or staff-file source pool; access review affects selection; large PDF extent; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Review Afghanistan files 645607685, 645607321, and 645607323.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Meeting Files, NSC Meeting - October 23, 1989 re: Afghanistan, OA/ID CF01625-008.",https://catalog.archives.gov/id/470426219,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-008.pdf
Confirmed record,35,High,70,3.007,India,1990-04-04,"NSC/DC 113 - April 04, 1990 - NSC/DC Meeting on Kashmir via SVTS, Keywords: India",Restricted - Possibly,41 pages,Recorded extent; still verify selected item boundaries before final numbering.,470761103,90013-026,H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90013-026 | 41-bpr-nsc-hfiles-dc_mtgs-113-90013-026.pdf,"High: Build an India policy lane beyond leader conversations; High: Screen Cheney Country Files before closing the source search; High: Split the Regional lane into Kashmir, Bangladesh, and other South Asia tracks; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; folder or staff-file source pool; access review affects selection; large PDF extent; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 113 - April 04, 1990 - NSC/DC Meeting on Kashmir via SVTS, Keywords: India, OA/ID 90013-026.",https://catalog.archives.gov/id/470761103,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-113-90013-026.pdf
Confirmed record,36,High,70,2.013,Pakistan,1990-05-07,"NSC/DC 124 - May 07, 1990 - NSC/DC Meeting re: Pakistan Stingers, Keywords: Pakistan (File located @ LM)",Restricted - Possibly,42 pages,Recorded extent; still verify selected item boundaries before final numbering.,470761116,90014-013,H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90014-013 | 41-bpr-nsc-hfiles-dc_mtgs-124-90014-013.pdf,"High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; folder or staff-file source pool; access review affects selection; large PDF extent; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Prioritize Gates Subject File 470437053 and Pakistan H-Files 470426231, 470426238, and 470426240.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 124 - May 07, 1990 - NSC/DC Meeting re: Pakistan Stingers, Keywords: Pakistan (File located @ LM), OA/ID 90014-013.",https://catalog.archives.gov/id/470761116,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-124-90014-013.pdf
Confirmed record,37,High,70,2.014,Pakistan,1990-06-28,"NSC/DC 147 - June 28, 1990 - NSC/DC Meeting on Pakistan's Nuclear Program, Keywords: Pakistan, Nuclear Matters",Restricted - Possibly,24 pages,Recorded extent; still verify selected item boundaries before final numbering.,470761140,90015-005,H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90015-005 | 41-bpr-nsc-hfiles-dc_mtgs-147-90015-005.pdf,"High: Build an India policy lane beyond leader conversations; High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; folder or staff-file source pool; access review affects selection; large PDF extent; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 147 - June 28, 1990 - NSC/DC Meeting on Pakistan's Nuclear Program, Keywords: Pakistan, Nuclear Matters, OA/ID 90015-005.",https://catalog.archives.gov/id/470761140,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-147-90015-005.pdf
Confirmed record,38,High,70,2.018,Pakistan,1990-08-31,"NSC/DC 190 - August 31, 1990 - NSC/DC Meeting on Pakistan Nuclear Program, Keywords: Pakistan, Nuclear Matters",Restricted - Possibly,37 pages,Recorded extent; still verify selected item boundaries before final numbering.,470761184,90016-018,H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90016-018 | 41-bpr-nsc-hfiles-dc_mtgs-190-90016-018.pdf,"High: Build an India policy lane beyond leader conversations; High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; folder or staff-file source pool; access review affects selection; large PDF extent; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 190 - August 31, 1990 - NSC/DC Meeting on Pakistan Nuclear Program, Keywords: Pakistan, Nuclear Matters, OA/ID 90016-018.",https://catalog.archives.gov/id/470761184,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-190-90016-018.pdf
Confirmed record,39,High,70,2.020,Pakistan,1990-10-02,"NSC/DC 205 - October 02, 1990 - NSC/DC Meeting on Pakistan Nuclear Program via SVTS, Keywords: Pakistan, Nuclear Matters",Restricted - Possibly,24 pages,Recorded extent; still verify selected item boundaries before final numbering.,470761204,90016-038,H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90016-038 | 41-bpr-nsc-hfiles-dc_mtgs-205-90016-038.pdf,"High: Build an India policy lane beyond leader conversations; High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; folder or staff-file source pool; access review affects selection; large PDF extent; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 205 - October 02, 1990 - NSC/DC Meeting on Pakistan Nuclear Program via SVTS, Keywords: Pakistan, Nuclear Matters, OA/ID 90016-038.",https://catalog.archives.gov/id/470761204,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-205-90016-038.pdf
Confirmed record,40,High,70,1.017,Afghanistan,1990-10-05,"NSC/DC 207 - October 05, 1990 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan",Restricted - Possibly,26 pages,Recorded extent; still verify selected item boundaries before final numbering.,470761206,90016-040,H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90016-040 | 41-bpr-nsc-hfiles-dc_mtgs-207-90016-040.pdf,"High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; folder or staff-file source pool; access review affects selection; large PDF extent; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Review Afghanistan files 645607685, 645607321, and 645607323.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 207 - October 05, 1990 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan, OA/ID 90016-040.",https://catalog.archives.gov/id/470761206,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-207-90016-040.pdf
Confirmed record,41,High,70,2.024,Pakistan,1990-10-09,"NSC0056 - October 09, 1990 - Nuclear Matters, Middle East and Gulf, Proliferation [1]",Restricted - Possibly,42 pages,Recorded extent; still verify selected item boundaries before final numbering.,470760963,90002-025,H-Files - National Security Council (NSC) Meeting Files,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC) Meeting Files | 90002-025 | 41-bpr-nsc-hfiles-nsc_mtgs-56_1-90002-025.pdf,"High: Build an India policy lane beyond leader conversations; High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; folder or staff-file source pool; access review affects selection; large PDF extent; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, NSC0056 - October 09, 1990 - Nuclear Matters, Middle East and Gulf, Proliferation [1], OA/ID 90002-025.",https://catalog.archives.gov/id/470760963,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-56_1-90002-025.pdf
Confirmed record,42,High,70,2.025,Pakistan,1990-10-09,"NSC0056 - October 09, 1990 - Nuclear Matters, Middle East and Gulf, Proliferation [2]",Restricted - Possibly,42 pages,Recorded extent; still verify selected item boundaries before final numbering.,470760964,90002-026,H-Files - National Security Council (NSC) Meeting Files,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC) Meeting Files | 90002-026 | 41-bpr-nsc-hfiles-nsc_mtgs-56_2-90002-026.pdf,"High: Build an India policy lane beyond leader conversations; High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; folder or staff-file source pool; access review affects selection; large PDF extent; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, NSC0056 - October 09, 1990 - Nuclear Matters, Middle East and Gulf, Proliferation [2], OA/ID 90002-026.",https://catalog.archives.gov/id/470760964,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-56_2-90002-026.pdf
Confirmed record,43,High,70,1.021,Afghanistan,1992-01-03,"NSC/DC 331 - January 03, 1992 - NSC/DC Meeting re: Afghanistan, Keywords: Afghanistan",Restricted - Possibly,58 pages,Recorded extent; still verify selected item boundaries before final numbering.,470761354,90021-019,H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90021-019 | 41-bpr-nsc-hfiles-dc_mtgs-331-90021-019.pdf,"High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; folder or staff-file source pool; access review affects selection; large PDF extent; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Review Afghanistan files 645607685, 645607321, and 645607323.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 331 - January 03, 1992 - NSC/DC Meeting re: Afghanistan, Keywords: Afghanistan, OA/ID 90021-019.",https://catalog.archives.gov/id/470761354,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-331-90021-019.pdf
Confirmed record,44,High,70,2.028,Pakistan,1992-07-10,"NSD-70 - July 10, 1992 - U.S. Nonproliferation Policy",Restricted - Possibly,101 pages,Recorded extent; still verify selected item boundaries before final numbering.,446396904,90005-020,H-Files - National Security Directive (NSD) Files,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Directive (NSD) Files | 90005-020 | 41-bpr-nsc-hfiles-nsd-70-90005-020.pdf,"High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; folder or staff-file source pool; access review affects selection; large PDF extent; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Prioritize Gates Subject File 470437053 and Pakistan H-Files 470426231, 470426238, and 470426240.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, NSD-70 - July 10, 1992 - U.S. Nonproliferation Policy, OA/ID 90005-020.",https://catalog.archives.gov/id/446396904,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-70-90005-020.pdf
